EBU_ID;ownICO;function;name;votedICO;rank
9e7c0575-786a-42f6-bb0b-8f7e1fe9afdd;BE;juror3;Mrs. Noemie Wolfs;SI;7
9e7c0575-79c7-44c3-9bc6-874f595fa260;BE;juror4;Mrs. Billie Leyers;SI;11
9e7c0575-77b1-4440-99bb-79c5cbef6660;BE;juror5;Mr. Hans Francken;SI;7
9e7c0575-997e-4901-9437-2d523824ba3e;EE;juror1;Mr. Indrek Sarrap;SI;4
9e7c0576-2f74-470b-87b5-112782ab4056;ES;juror1;Mrs. Ana Isabel Conde;SI;7
9e7c0576-3018-45b3-a8e6-6a3e849d1cba;ES;juror2;Mrs. Maria Melodia Perez Castillo;SI;7
9e7c0576-2e1c-4328-acf4-3c8751b3ffb0;ES;juror3;Mr. Javier Pageo NicoAs;SI;4
9e7c0576-30b9-43fd-832e-3dd447b511fa;ES;juror4;Mrs. Irene Garrido Minano;SI;8
9e7c0576-2ec7-4fe2-a2d4-82739d9b0016;ES;juror5;Mr. Javier Llano Abril;SI;1
9e7c0576-2973-4d1d-bfaf-c6b5b6388964;SI;juror1;Mr. Gregor Starsbergar;SI;0
9e7c0576-2827-4002-9e57-03d49062212e;SI;juror2;Mrs. Ana Sokli;SI;0
9e7c0575-8445-4762-acb3-e9c7ed101e88;CY;juror1;Mrs. Maria Hari;SI;3
9e7c0576-28cf-4f3a-af2f-4db6490fd3f1;SI;juror3;Mr. Jon Vitezi;SI;0
9e7c0576-2a0f-45d9-9c9f-01d2aee39208;SI;juror4;Mr. Urban Koritnik;SI;0
9e7c0576-277c-4cdf-8555-64d8ddbaf223;SI;juror5;Mrs. Eva Boto;SI;0
9e7c0575-85a6-4f10-b0a5-669d67353f50;CY;juror2;Mr. Michael Messios;SI;6
9e7c0575-864c-415b-aaf3-3c41228c1eb4;CY;juror3;Mrs. Chariklia Strouthou;SI;2
9e7c0575-84fa-4409-818a-706de703476a;CY;juror4;Mr. Charis Savva;SI;6
9e7c0575-8705-4386-92d8-eb8f1154b15e;CY;juror5;Mrs. Helena Olympiou;SI;12
9e7c0575-9a36-48a8-8be1-b1d613bb426c;EE;juror2;Mrs. Alika Milova;SI;3
9e7c0575-9ae0-4752-a007-26dd5208389c;EE;juror3;Mr. Ott Lepland;SI;3
9e7c0575-9b93-45ca-a954-16adf28ba87e;EE;juror4;Mr. Owe Petersell;SI;5
9e7c0575-9c3e-4301-a0cc-0c6f874f9c46;EE;juror5;Mrs. Elina Nechayeva;SI;6
9e7c0576-1424-496b-9d27-c7130a9f06e1;PT;juror1;Mr. Alexandre Manuel Valerio Mesquita Guimaraes;SI;12
9e7c0576-1576-4f86-9223-84acf83449f7;PT;juror2;Mr. Alberto HernAndez Seruca;SI;14
9e7c0576-137d-45e8-a4f8-10d16d40bf49;PT;juror3;Mrs. Lia Isabel Pereira;SI;14
9e7c0576-161e-4959-9963-3d59611725fa;PT;juror4;Mr. Luis Oliveira Nunes;SI;13
